# # pES cross section (10^-38 cm^2/GeV) #   From Beacom & Farr & Vogel hep-ph/0205220 #
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar #

-2.785599  3.327280e-03  3.327280e-03  3.327280e-03  3.326308e-03  3.326308e-03  3.326308e-03
-2.783298  3.344856e-03  3.344856e-03  3.344856e-03  3.343873e-03  3.343873e-03  3.343873e-03
-2.780997  3.362523e-03  3.362523e-03  3.362523e-03  3.361530e-03  3.361530e-03  3.361530e-03
-2.778696  3.380284e-03  3.380284e-03  3.380284e-03  3.379280e-03  3.379280e-03  3.379280e-03
-2.776395  3.398138e-03  3.398138e-03  3.398138e-03  3.397124e-03  3.397124e-03  3.397124e-03
-2.774094  3.416085e-03  3.416085e-03  3.416085e-03  3.415060e-03  3.415060e-03  3.415060e-03
-2.771793  3.434127e-03  3.434127e-03  3.434127e-03  3.433091e-03  3.433091e-03  3.433091e-03
-2.769492  3.452264e-03  3.452264e-03  3.452264e-03  3.451217e-03  3.451217e-03  3.451217e-03
-2.767191  3.470495e-03  3.470495e-03  3.470495e-03  3.469437e-03  3.469437e-03  3.469437e-03
-2.764890  3.488823e-03  3.488823e-03  3.488823e-03  3.487754e-03  3.487754e-03  3.487754e-03
-2.762589  3.507246e-03  3.507246e-03  3.507246e-03  3.506166e-03  3.506166e-03  3.506166e-03
-2.760288  3.525767e-03  3.525767e-03  3.525767e-03  3.524675e-03  3.524675e-03  3.524675e-03
-2.757987  3.544384e-03  3.544384e-03  3.544384e-03  3.543281e-03  3.543281e-03  3.543281e-03
-2.755686  3.563100e-03  3.563100e-03  3.563100e-03  3.561984e-03  3.561984e-03  3.561984e-03
-2.753385  3.581913e-03  3.581913e-03  3.581913e-03  3.580786e-03  3.580786e-03  3.580786e-03
-2.751084  3.600825e-03  3.600825e-03  3.600825e-03  3.599686e-03  3.599686e-03  3.599686e-03
-2.748783  3.619837e-03  3.619837e-03  3.619837e-03  3.618686e-03  3.618686e-03  3.618686e-03
-2.746482  3.638948e-03  3.638948e-03  3.638948e-03  3.637785e-03  3.637785e-03  3.637785e-03
-2.744181  3.658159e-03  3.658159e-03  3.658159e-03  3.656984e-03  3.656984e-03  3.656984e-03
-2.741880  3.677472e-03  3.677472e-03  3.677472e-03  3.676283e-03  3.676283e-03  3.676283e-03
-2.739579  3.696885e-03  3.696885e-03  3.696885e-03  3.695684e-03  3.695684e-03  3.695684e-03
-2.737278  3.716400e-03  3.716400e-03  3.716400e-03  3.715187e-03  3.715187e-03  3.715187e-03
-2.734977  3.736018e-03  3.736018e-03  3.736018e-03  3.734792e-03  3.734792e-03  3.734792e-03
-2.732676  3.755739e-03  3.755739e-03  3.755739e-03  3.754500e-03  3.754500e-03  3.754500e-03
-2.730375  3.775563e-03  3.775563e-03  3.775563e-03  3.774311e-03  3.774311e-03  3.774311e-03
